"Date","HatchDateJulYear","MaxTempMean1_11","MaxTempMean12_22","MeanMaxTempIncubation","MinTempMean1_11","MinTempMean12_22","MeanMinTempIncubation","PrecipSum1_11","PrecipSum12_22","PrecipSumIncubation","GDDSum1_11","GDDSum12_22","GDDSumIncubation","CDDSum1_11","CDDSum12_22","CDDSumIncubation","HDDSum1_11","HDDSum12_22","HDDSumIncubation"
"1/1/1989",1989001,-0.909090909090909,2.77777777777778,0.555555555555556,-9.7979797979798,-7.27272727272727,-6.66666666666667,0.889,0.2032,0,0,0,0,0,0,0,465,404,38
"1/2/1989",1989002,-0.909090909090909,3.38383838383838,0.833333333333333,-10,-7.07070707070707,-5.83333333333333,0.889,0.2032,0,0,0,0,0,0,0,467,396,74
"1/3/1989",1989003,-0.555555555555556,4.09090909090909,1.85185185185185,-9.8989898989899,-7.17171717171717,-5.74074074074074,0.9398,0.1524,0,0,0,0,0,0,0,463,390,108
"1/4/1989",1989004,-1.06060606060606,5.1010101010101,0.555555555555556,-10.3535353535354,-6.81818181818182,-8.75,0.9398,0.1524,0.254,0,0,0,0,0,0,473,376,160
"1/5/1989",1989005,-0.454545454545455,5.05050505050505,-2.22222222222222,-9.49494949494949,-6.61616161616162,-10.6666666666667,0.6858,0.2794,0.4064,0,0,0,0,0,0,458,375,221
"1/6/1989",1989006,1.26262626262626,5.1010101010101,-3.05555555555556,-8.08080808080808,-6.41414141414141,-11.5740740740741,0.5334,0.6604,0.508,0,0,0,0,0,0,427,373,275
"1/7/1989",1989007,2.17171717171717,5.05050505050505,-3.0952380952381,-7.07070707070707,-6.41414141414141,-11.1111111111111,0.4318,0.7112,0.5842,0,0,0,0,0,0,408,373,318
"1/8/1989",1989008,2.97979797979798,5.50505050505051,-2.15277777777778,-6.81818181818182,-6.16161616161616,-10.1388888888889,0.3556,0.7112,0.762,0,0,0,0,0,0,398,366,350
"1/9/1989",1989009,3.18181818181818,5.60606060606061,-0.925925925925926,-6.66666666666667,-6.16161616161616,-9.44444444444444,0.1778,0.7874,0.762,0,0,0,0,0,0,394,365,378
"1/10/1989",1989010,2.77777777777778,5.85858585858586,-1.16666666666667,-6.56565656565657,-5.95959595959596,-9.88888888888889,0.1778,0.8128,0.889,0,0,0,0,0,0,397,361,426
"1/11/1989",1989011,3.53535353535354,6.46464646464646,-0.909090909090909,-6.61616161616162,-4.5959595959596,-9.7979797979798,0.2032,0.6604,0.889,0,0,0,0,0,0,390,342,465
"1/12/1989",1989012,2.77777777777778,8.48484848484848,-0.787037037037037,-7.27272727272727,-3.58585858585859,-9.72222222222222,0.2032,0.6604,0.889,0,0,0,0,0,0,404,312,505
"1/13/1989",1989013,3.38383838383838,7.42424242424242,-0.341880341880342,-7.07070707070707,-3.68686868686869,-9.27350427350427,0.2032,1.8034,0.9398,0,0,0,0,0,0,396,324,537
