"Date","Year","Month","JulDay","HatchDateJulYear","PrecipCM","SnowfallCM","SnowDepthCM","MinC","MaxC","MeanC","GDD10C","OneCMinusMinC","MaxCMinus10C"
1989-03-12,1989,3,71,1989071,0.1524,3.302,2.54,-0.555555555555556,10.5555555555556,5,-5,1.55555555555556,0.555555555555555
1989-03-13,1989,3,72,1989072,0,0,2.54,-17.2222222222222,-0.555555555555556,-8.88888888888889,-18.8888888888889,18.2222222222222,-10.5555555555556
1989-03-14,1989,3,73,1989073,0,0,0,-10,5.55555555555556,-2.22222222222222,-12.2222222222222,11,-4.44444444444444
1989-03-15,1989,3,74,1989074,NA,0,0,1.11111111111111,12.7777777777778,6.94444444444444,-3.05555555555556,-0.111111111111111,2.77777777777778
1989-03-16,1989,3,75,1989075,0.0508,0.762,NA,-3.33333333333333,17.2222222222222,6.94444444444444,-3.05555555555556,4.33333333333333,7.22222222222222
1989-03-17,1989,3,76,1989076,0,0,0,-3.33333333333333,8.33333333333333,2.5,-7.5,4.33333333333333,-1.66666666666667
1989-03-18,1989,3,77,1989077,0.7112,0,0,-2.77777777777778,7.22222222222222,2.22222222222222,-7.77777777777778,3.77777777777778,-2.77777777777778
1989-03-19,1989,3,78,1989078,0.2286,3.81,2.54,-5.55555555555556,7.77777777777778,1.11111111111111,-8.88888888888889,6.55555555555556,-2.22222222222222
1989-03-20,1989,3,79,1989079,0,0,NA,-10,-1.11111111111111,-5.55555555555556,-15.5555555555556,11,-11.1111111111111
1989-03-21,1989,3,80,1989080,0.3048,3.81,2.54,-3.33333333333333,2.77777777777778,-0.277777777777778,-10.2777777777778,4.33333333333333,-7.22222222222222
1989-03-22,1989,3,81,1989081,NA,NA,2.54,-13.3333333333333,0.555555555555556,-6.38888888888889,-16.3888888888889,14.3333333333333,-9.44444444444444
1989-03-23,1989,3,82,1989082,0,0,0,-10,-0.555555555555556,-5.27777777777778,-15.2777777777778,11,-10.5555555555556
1989-03-24,1989,3,83,1989083,NA,0,0,-5,7.77777777777778,1.38888888888889,-8.61111111111111,6,-2.22222222222222
1989-03-25,1989,3,84,1989084,2.3368,0,0,0,2.22222222222222,1.11111111111111,-8.88888888888889,1,-7.77777777777778
1989-03-26,1989,3,85,1989085,0,0,0,2.22222222222222,11.1111111111111,6.66666666666667,-3.33333333333333,-1.22222222222222,1.11111111111111
1989-03-27,1989,3,86,1989086,0,0,0,2.77777777777778,13.8888888888889,8.33333333333333,-1.66666666666667,-1.77777777777778,3.88888888888889
1989-03-28,1989,3,87,1989087,0.0508,0,0,11.6666666666667,25,18.3333333333333,8.33333333333334,-10.6666666666667,15
1989-03-29,1989,3,88,1989088,0.2032,0,0,8.88888888888889,23.3333333333333,16.1111111111111,6.11111111111111,-7.88888888888889,13.3333333333333
1989-03-30,1989,3,89,1989089,1.4478,0,0,1.11111111111111,8.88888888888889,5,-5,-0.111111111111111,-1.11111111111111
1989-03-31,1989,3,90,1989090,0.8128,0,0,1.66666666666667,7.22222222222222,4.44444444444444,-5.55555555555556,-0.666666666666667,-2.77777777777778
1989-04-01,1989,4,91,1989091,0.889,4.318,2.54,0.555555555555556,2.22222222222222,1.38888888888889,-8.61111111111111,0.444444444444444,-7.77777777777778
1989-04-02,1989,4,92,1989092,0.0762,NA,NA,-5,2.22222222222222,-1.38888888888889,-11.3888888888889,6,-7.77777777777778
1989-04-03,1989,4,93,1989093,0.1524,0,0,-1.66666666666667,12.7777777777778,5.55555555555556,-4.44444444444444,2.66666666666667,2.77777777777778
1989-04-04,1989,4,94,1989094,0.3556,0,0,3.33333333333333,10,6.66666666666667,-3.33333333333333,-2.33333333333333,0
1989-04-05,1989,4,95,1989095,0.889,0,0,6.66666666666667,20,13.3333333333333,3.33333333333333,-5.66666666666667,10
1989-04-06,1989,4,96,1989096,0.0254,0,0,3.33333333333333,15.5555555555556,9.44444444444444,-0.555555555555555,-2.33333333333333,5.55555555555556
